PairID,ByWho,SurveyAnswer,ActualAnswer,ConfidenceLevel,DecisionTime,ClickCount,Age,Education,EngProf,Major,PerturbationLevel,DominantGroup,DemographicAttr,Source,Majority,LinguisticGroup,ExpertiseGroup,ExperienceGroup
0,syn_0,1,1,0.7266,0.002346,2,1,3,4,4,low,male,Gender,FacultyMatch,1,Native,STEM,High-Edu
0,syn_1,1,1,0.7266,0.000299,1,3,1,4,4,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_2,0,1,0.6919,0.006156,0,1,1,4,5,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_3,1,1,0.6975,0.001013,0,3,2,4,4,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_4,1,1,0.8316,0.00372,0,1,4,4,4,low,male,Gender,FacultyMatch,1,Native,STEM,High-Edu
0,syn_5,0,1,0.5976,0.000751,0,1,1,5,5,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_6,1,1,0.6871,0.002281,0,1,3,5,5,low,male,Gender,FacultyMatch,1,Native,STEM,High-Edu
0,syn_7,1,1,0.8098,0.00361,0,1,1,4,5,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_8,1,1,0.6899,0.000238,1,2,3,5,4,low,male,Gender,FacultyMatch,1,Native,STEM,High-Edu
0,syn_9,1,1,0.7208,0.005764,0,3,4,5,4,low,male,Gender,FacultyMatch,1,Native,STEM,High-Edu
0,syn_10,1,1,0.8323,0.000651,0,3,1,4,5,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_11,1,1,0.6279,0.001868,0,3,2,5,5,low,male,Gender,FacultyMatch,1,Native,STEM,Lower-Edu
0,syn_12,1,1,0.8886,0.007912,0,2,2,1,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_13,1,1,0.8206,0.000927,0,2,1,1,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_14,0,1,0.8928,0.000463,1,1,3,2,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,High-Edu
0,syn_15,1,1,0.7354,0.004412,1,3,2,2,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_16,1,1,0.8699,0.001519,1,3,2,2,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_17,1,1,0.9065,0.013057,1,2,2,3,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_18,1,1,0.8398,0.004439,0,3,2,2,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_19,0,1,0.9171,0.004018,0,1,2,2,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_20,1,1,0.7914,0.003725,2,1,3,2,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,High-Edu
0,syn_21,1,1,0.9204,0.001274,4,3,2,1,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_22,1,1,0.6297,0.007397,1,1,4,2,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,High-Edu
0,syn_23,1,1,0.9251,0.007104,2,3,2,2,4,low,male,Gender,FacultyMatch,1,Non-Native,STEM,Lower-Edu
0,syn_24,0,1,0.703,0.014087,1,3,4,3,5,low,male,Gender,FacultyMatch,1,Non-Native,STEM,High-Edu
0,syn_25,0,1,0.7398,0.02655,4,1,2,2,2,low,male,Gender,FacultyMatch,1,Non-Native,Non-STEM,Lower-Edu
0,syn_26,0,1,0.7692,0.022308,3,1,1,3,2,low,male,Gender,FacultyMatch,1,Non-Native,Non-STEM,Lower-Edu
0,syn_27,1,1,0.7559,0.005571,2,3,2,1,1,low,male,Gender,FacultyMatch,1,Non-Native,Non-STEM,Lower-Edu
0,syn_28,1,1,0.7589,0.007149,1,2,1,2,3,low,male,Gender,FacultyMatch,1,Non-Native,Non-STEM,Lower-Edu
0,syn_29,1,1,0.7037,0.028631,1,3,4,2,3,low,male,Gender,FacultyMatch,1,Non-Native,Non-STEM,High-Edu
1,syn_0,0,0,0.7481,0.00607,0,1,3,4,4,none,male,Gender,FacultyMatch,0,Native,STEM,High-Edu
1,syn_1,1,0,0.5826,0.00179,0,3,1,4,4,none,male,Gender,FacultyMatch,0,Native,STEM,Lower-Edu
