Feature,Coefficient,Odds_Ratio,Abs_Coef
IsHard_Perf,-2.181067180408773,0.11292095928071212,2.181067180408773
IsMedium,-1.1429936104649356,0.31886303987841136,1.1429936104649356
NonNative_x_Hard,-0.7021836208115522,0.49550213283505895,0.7021836208115522
NonNative_x_Medium,0.6125557271830786,1.8451410550708747,0.6125557271830786
IsHighEdu,-0.43127268074250674,0.6496817309222995,0.43127268074250674
ConfidenceNorm,0.2826489777890346,1.3266394001801947,0.2826489777890346
HighEdu_x_Hard,0.24162805591313577,1.2733205006972472,0.24162805591313577
IsNonNative,-0.22906509651561222,0.795276762073884,0.22906509651561222
ClickCount,0.07910751746139612,1.0823206841871031,0.07910751746139612
IsOlder35,0.03926390743633655,1.0400449230245794,0.03926390743633655
IsSTEM,-0.027707918303230068,0.972672425127441,0.027707918303230068
